Date,Calories,Carbohydrates (g),Protein (g),Fat (g),Sugar,Fiber,Time at home (hours),Net Carbs (g),"Macro kcal (4-4-9, fiber adj)","Carb % (net, 4-4-9)",Protein % (4-4-9),Fat % (4-4-9),% Sugar in Carbs,Calories Score,"Carb % (net, 4-4-9) Score",Protein % (4-4-9) Score,Fat % (4-4-9) Score,Daily Nutrition Score
2025-11-10,2510.3,418.6,71.3,65.2,113.9,19.9,6,398.70000000000005,2466.8,64.65055942922004,11.561537214204638,23.78790335657532,27.209746774964167,97.93999999999997,53.494405707799615,65.61537214204637,100.0,79.3
2025-11-11,2151.7,337.8,80.8,54.6,49.4,7.4,2,330.40000000000003,2136.2000000000003,61.86686639827731,15.129669506600504,23.00346409512218,14.62403789224393,100.0,81.3313360172269,100.0,100.0,95.3
2025-11-12,2602.5,414.0,133.0,48.7,59.199999999999996,16.6,9,397.4,2559.9,62.09617563186062,20.782061799289036,17.121762568850347,14.299516908212558,79.5,79.03824368139382,100.0,71.21762568850346,82.4
2025-11-13,2378.8,357.5,114.7,67.0,128.6,55.7,5,301.8,2269.0,53.20405464962539,20.220361392684,26.57558395769061,35.97202797202797,100.0,100.0,100.0,100.0,100.0
2025-11-14,3061.5,376.6,106.1,127.3,108.1,16.2,4,360.40000000000003,3011.7,47.86665338513133,14.09170900156058,38.041637613308104,28.70419543281996,0.0,78.66653385131329,90.91709001560581,19.583623866918956,47.3
2025-11-15,1795.8,323.9,84.4,24.4,122.8,15.2,14,308.7,1792.0,68.90625,18.839285714285715,12.254464285714285,37.912936091386236,59.15999999999999,10.9375,100.0,22.544642857142847,48.2
2025-11-16,2230.4,267.5,71.6,101.3,24.1,13.1,15,254.4,2215.7,45.9267951437469,12.925937626935054,41.14726722931805,9.009345794392525,100.0,59.26795143746901,79.25937626935054,0.0,59.6
2025-11-17,1808.1000000000001,315.90000000000003,59.7,45.7,122.89999999999999,40.4,5,275.50000000000006,1752.1000000000001,62.895953427315796,13.629359054848466,23.474687517835736,38.90471668249445,61.620000000000026,71.04046572684204,86.29359054848466,100.0,79.7
2025-11-18,1958.9,292.6,41.7,64.9,79.8,8.1,3,284.5,1888.9,60.2467044311504,8.830536290962995,30.922759277886602,27.27272727272727,91.78000000000002,97.53295568849602,38.30536290962995,90.77240722113399,79.6
2025-11-19,2361.4,237.8,109.1,108.1,53.900000000000006,12.8,7,225.0,2309.3,38.9728489152557,18.897501407352877,42.12964967739141,22.666105971404544,100.0,0.0,100.0,0.0,50.0
2025-11-20,2412.2,349.6,99.1,72.0,72.4,25.4,4,324.20000000000005,2341.2000000000003,55.3903980864514,16.931488125747478,27.678113787801124,20.709382151029747,100.0,100.0,100.0,100.0,100.0
2025-11-21,2706.3,239.1,87.39999999999999,168.39999999999998,69.3,15.5,4,223.6,2759.6,32.41049427453254,12.66850268154805,54.921003043919406,28.983688833124216,58.73999999999997,0.0,76.6850268154805,0.0,33.9
2025-11-22,2643.1,282.7,111.7,119.30000000000001,137.9,15.600000000000001,6,267.09999999999997,2588.8999999999996,41.26849240990382,17.258295028776704,41.47321256131949,48.77962504421649,71.38000000000002,12.684924099038213,100.0,0.0,46.0
2025-11-23,2220.2,367.4,60.2,62.3,132.8,15.4,8,352.0,2209.5,63.72482462095497,10.898393301651959,25.376782077393074,36.14589003810561,100.0,62.75175379045031,58.98393301651959,100.0,80.4
2025-11-24,1420.1,230.2,42.7,44.5,61.3,19.9,6,210.29999999999998,1412.5,59.553982300884954,12.092035398230088,28.353982300884955,26.629018245004342,0.0,100.0,70.92035398230088,100.0,67.7
2025-11-25,2481.5,415.7,102.2,106.9,189.10000000000002,42.8,5,372.9,2862.5,52.10829694323144,14.28122270742358,33.61048034934498,45.489535722877086,100.0,100.0,92.8122270742358,63.89519650655018,89.2
2025-11-26,2196.5,331.2,108.2,101.10000000000001,108.5,33.8,9,297.4,2532.3,46.9770564309126,17.09118192947123,35.93176163961616,32.759661835748794,100.0,69.77056430912597,100.0,40.68238360383838,77.6
2025-11-27,2501.1,423.70000000000005,108.9,51.7,140.6,23.599999999999998,6,400.1,2501.3,63.98272898092991,17.41494422900092,18.602326790069164,33.18385650224215,99.78000000000002,60.17271019070087,100.0,86.02326790069164,86.5
2025-11-28,2392.9,381.20000000000005,94.1,65.6,91.1,32.9,4,348.30000000000007,2360.0000000000005,59.03389830508474,15.949152542372877,25.016949152542367,23.898216159496325,100.0,100.0,100.0,100.0,100.0
